VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1392,CONSTELLATION BRANDS INC,8498,R M Woodbridge Svgn Bl Cal,5.84,8.99,1500,40293,235311.12,39910,402153.9,124011.33,8958.21,79528.99,166842.78,41.487296281349,0.990494626858263,1.70903058045026
3960,DIAGEO NORTH AMERICA INC,4429,Capt Morgan Silver Spicd Rum,17.31,22.99,1750,13569,234879.39,13116,301339.84,174606.04,24103.19,257032.07,66460.45,22.0549828393086,0.966615078487729,1.282955648003
10000,MAJESTIC FINE WINES,24327,La Crema Pnt Nr Sonoma Cst,13.1,19.99,750,17856,233913.6,15704,323546.96,125859.5,1754,17587.59,89633.36,27.7033540973465,0.879480286738351,1.38319003255903
3664,WILLIAM GRANT & SONS INC,4218,Sailor Jerry Spiced Navy Rum,12.31,16.99,750,18993,233803.83,16583,286511.17,165062.82,13062.31,30234.42,52707.34,18.3962600829839,0.873111146211762,1.2254340315982
3664,WILLIAM GRANT & SONS INC,2398,Tullamore Dew,16.4,20.99,750,14238,233503.2,13347,300055.53,174270.02,10514.58,30234.42,66552.33,22.1800044811705,0.937420986093553,1.2850167792133
10754,PERFECTA WINES,2531,WhistlePig 10 Yr Old Rye,46.37,63.99,750,5011,232360.07,4102,288456.98,204948.87,3233.6,28720.52,56096.91,19.44723611819,0.818599082019557,1.24142233215888
1128,BROWN-FORMAN CORP,5299,Southern Comfort,15.26,21.99,1750,15196,231890.96,15234,349220.66,136423.8,27990.82,68601.68,117329.7,33.5975826859728,1.00250065806791,1.50596927107465
10754,PERFECTA WINES,43223,Ch Beauchene Cotes du Rhone,5.93,8.99,750,38980,231151.4,38054,365707.74,100440.71,4262.96,28720.52,134556.34,36.7934077632593,0.976244227809133,1.58211345464488
1392,CONSTELLATION BRANDS INC,3804,Svedka Vodka,7.63,12.99,750,30170,230197.1,29953,308911.47,143881.53,23583.08,79528.99,78714.37,25.4812066382644,0.992807424593968,1.34194336071132
1392,CONSTELLATION BRANDS INC,6565,Clos du Bois Cab Svgn N Cst,5.99,10.99,750,38180,228698.2,37769,352579.31,95914.87,4231.89,79528.99,123881.11,35.1356720279474,0.98923520167627,1.54167942729764
1392,CONSTELLATION BRANDS INC,29248,Toasted Head Chard,6.53,9.99,750,34803,227263.59,33858,360783.42,101906.47,3792.69,79528.99,133519.83,37.0083054260088,0.972847168347556,1.58751087228711
8892,TRINCHERO FAMILY ESTATES,12771,Joel Gott Cab Svgn 815,8.44,12.99,750,26874,226816.56,25372,339061.28,109807.91,2839.34,11595.97,112244.72,33.1045526637545,0.944109548262261,1.49487003947154
3960,DIAGEO NORTH AMERICA INC,1380,Bulleit 95 Rye,34.05,49.99,1750,6655,226602.75,6486,315297.14,208791.13,11921.34,257032.07,88694.39,28.1304137424145,0.974605559729527,1.39140915103634
9815,WINE GROUP INC,11826,Cupcake Chard,4.72,6.99,750,47943,226290.96,46616,350764.84,84403.3,5225.62,27100.41,124473.88,35.4864187642068,0.972321298208289,1.55006121322743
12546,JIM BEAM BRANDS COMPANY,8066,DeKuyper Triple Sec,7.13,8.99,1750,31564,225051.32,31254,285991.46,109083.44,57425.27,123880.97,60940.14,21.3083775298745,0.990178684577367,1.27078330400373
9815,WINE GROUP INC,14706,Cupcake Prosecco,4.6,8.99,750,48442,222833.2,47545,422212.55,95398.91,5332.48,27100.41,199379.35,47.2225067682143,0.981483010610627,1.89474705744027
8664,"STOLI GROUP,(USA) LLC",3680,Stolichnaya Ohranj,18.93,24.99,1750,11728,222011.04,11749,297848.51,165749.74,21591.1,18544.49,75837.47,25.4617590667148,1.00179058663029,1.34159323788583
12546,JIM BEAM BRANDS COMPANY,1278,Jim Beam Black,26.71,35.99,1750,8275,221025.25,7868,277415.32,195511.55,14462.48,123880.97,56390.07,20.3269487784597,0.950815709969789,1.25512953836722
7239,REMY COINTREAU USA INC,5124,Cointreau Liqueur,51.53,66.99,1750,4269,219981.57,4150,279734.5,204523.7,7629.18,16978.67,59752.93,21.3605865561809,0.972124619348794,1.27162698220583
8004,SAZERAC CO INC,1398,Blantons Sgl Barrel Bourbon,40.59,56.99,750,5415,219794.85,5339,302732.61,164770.9,4205.64,50293.62,82937.76,27.3963746422957,0.985964912280702,1.3773416893071
3960,DIAGEO NORTH AMERICA INC,3397,Ciroc Red Berry Vodka,18.24,24.99,750,12012,219098.88,12058,305545.42,136362.61,9498.55,257032.07,86446.54,28.2925333981442,1.0038295038295,1.39455491511413
1128,BROWN-FORMAN CORP,3614,Finlandia Vodka,15.99,19.99,1750,13694,218967.06,13788,287664.12,146053.64,25337.75,68601.68,68697.06,23.8809970461384,1.00686432014021,1.31373239426971
12546,JIM BEAM BRANDS COMPANY,1358,Knob Creek Bourbon,42.85,64.99,1750,5105,218749.25,4775,296925.25,229111.24,8778.35,123880.97,78176,26.3285119739732,0.935357492654261,1.35737722529334
12546,JIM BEAM BRANDS COMPANY,4269,Calico Jack Spiced Rum,9.22,11.99,1750,23661,218154.42,23702,292863.98,148820.73,43549.61,123880.97,74709.56,25.5099858985731,1.00173280926419,1.34246182130988
3960,DIAGEO NORTH AMERICA INC,2723,J & B Rare,21.42,29.99,1750,10153,217477.26,9306,289581.94,166336.26,17103.1,257032.07,72104.68,24.8995776463132,0.916576381365114,1.33155043428449
3252,E & J GALLO WINERY,40545,Whitehaven Svgn Bl Marlboro,9.93,14.99,750,21850,216970.5,21477,321940.23,103565.91,2403.61,61966.91,104969.73,32.6053472720697,0.982929061784897,1.48379724432584
9815,WINE GROUP INC,31465,Franzia Tap Chard,10.38,15.99,5000,20812,216028.56,20846,347563.54,181829.67,15634.5,27100.41,131534.98,37.8448729115833,1.00163367288103,1.60887773357375
